SNo	Agency	
Licence No.
Address	Status
1.	A & A TRAVELS & TOURS (MANPOWER CONSULT	
1890
NO.614, 3 RD FLOOR, CENTRAL PLAZA COMP.,MARADANA RD. COLOMBO 10	- (Cancelled Agency)
2.	A & A (PVT) LTD	
0942
NO.49,2ND FLR. SRI SANGARAJA MAWATHA COLOMBO 10	- (Cancelled Agency)
3.	A & H Manpower Services	
1017
94 -1/7,1ST FLR.,YORK BLDG.,YORK ST.,COL-01.	- (Cancelled Agency)
4.	A & N (Pvt) Ltd.	
0815
16 - 20 ,GALLE FACE COURT 02, COL-03.	- (Cancelled Agency)
5.	A & Z GULF TRAVELS (PVT) LTD	
1477
NO.58 CHURCH STREET COLOMBO 02	- (Cancelled Agency)
6.	A H N INTERNATIONAL SERVICES	
2722
NO.63 A (D.G.S 2) MIHINDU MAWATHA COLOMBO 12	- (Suspended Agency)
7.	A M R FOREIGN EMPLOYMENT AGENCY	
3220
NO 64, 3RD FLOOR, KANDY ROAD KURUNEGALA	- (Cancelled Agency)
8.	A P L INTERNATIONAL (PVT) LTD	
2907
NO.5, KANDY ROAD, BULUGAHA JUNCTION KELANIYA	- (Cancelled Agency)
9.	A POSITIVE MANPOWER (PVT) LTD	
2915
NO.652, KEGALLE ROAD, KARAWANELLA	- (Cancelled Agency)
10.	A.J. & G.F.Enterprises	
0636
9,CLIFFERD RD.,COLPETTY,COL-3	- (Cancelled Agency)
11.	A.J.& G.F.Enterprises	
0309
9,CLIFFORD RD.,COLPETTY,COL.-3	- (Cancelled Agency)
12.	A.N.LANKA ENTERPRISES	
1581
NO.471/1 GALLE ROAD MOUNT LAVINIA	- (Cancelled Agency)
13.	Abans Recruitment Services (Pvt) Ltd.	
0525
498,GALL RD.,COL.-3	- (Cancelled Agency)
14.	ABBAS FOREIGN EMPLOYMENT AGENCY	
2612
NO. 215/17 MAHIYANGANA ROAD BADULLA	- (Cancelled Agency)
15.	ABDUL CAREEM (PVT) LTD	
2022
NO.444F 3/1 GALLE RD. RATMALANA	- (Cancelled Agency)
16.	ABDUL LATIF MANPOWER AGENCY	
1495
NO.20/14,BLOCK NO.15 SYMONDS RD.,MARADANA COLOMBO 10	- (Suspended Agency)
17.	Abdul Raheem Recruiting Office	
1081
43,CHILAW RD.,BANDARAKOSWATTE.	- (Cancelled Agency)
18.	ABDULLAH MANPOWER	
2827
NO.22 1/1 , DIAS PLACE, GUNASINGHAPURA COLOMBO 12	- (Cancelled Agency)
19.	ABEYNAYAKE FOREIGN EMPLOYMENT AGENT	
1267
NO. 115/3 KAPUWATTA DAMBULLA	- (Cancelled Agency)
20.	ABEYNAYAKE INTERNATIONAL	
1879
NO. 06 CO -OPERATIVE TOWN BANK BLDG. PILIMATALAWA	- (Cancelled Agency)
21.	ABHIMANA FOREIGN EMPLOYMENT AGENCY	
3578
NO.173/1, MIRISWATTA MUDUNGODA	- (Suspended Agency)
22.	ABIRAAD GENERAL SERVICES	
1636
NO: 399- 1/1, GALLE ROAD, COLOMBO 04	- (Cancelled Agency)
23.	ABRAJ (PVT) LTD	
0078
NO.8 1/1,ARTHURS PLACE BAMBALAPITIYA COLOMBO 04	- (Cancelled Agency)
24.	ABRAR MANAGEMENT SERVICES (PVT) LTD	
2854
NO.262 K, MAIN STREET SAINTHAMARUTHU	- (Cancelled Agency)
25.	ABU ASMA TRAVELS AND TOURS	
2770
NO.253/1 3 CHILAW ROAD,PERIYAMULLA NEGOMBO	- (Cancelled Agency)
26.	ACCESS INTERNATIONAL MANPOWER AGENCY	
2443
NO. 154 2/2 A, KEW ROAD, COLOMBO 02	- (Cancelled Agency)
27.	ACCOUNTING & GENERAL SERVICES LTD.	
1161
NO.17 PARK AVENUE COLOMBO 05	- (Cancelled Agency)
28.	Acme Business Services Ltd.	
0912
417 1/1,UNION PLACE,COL-02.	- (Cancelled Agency)
